minfd,minfddesc,majfd,majfddesc,Coded unit,fdgp,fd gp description
401,MILK  LIQUID  FULL PRICE,4,"LIQUID WHOLEMILK, FULL PRICE",pt,4005.0,"LIQUID WHOLEMILK, FULL PRICE & WELFARE"
401,MILK  LIQUID  FULL PRICE,4,"LIQUID WHOLEMILK, FULL PRICE",pt,4006.0,"LIQUID WHOLEMILK, INC SCHOOL & WELFARE"
401,MILK  LIQUID  FULL PRICE,4,"LIQUID WHOLEMILK, FULL PRICE",pt,4017.0,TOTAL MILK AND CREAM
401,MILK  LIQUID  FULL PRICE,4,"LIQUID WHOLEMILK, FULL PRICE",pt,4023.0,"TOTAL MILK, CREAM AND CHEESE"
402,"UHT LIQUID MILK, FULL PRICE",4,"LIQUID WHOLEMILK, FULL PRICE",pt,4005.0,"LIQUID WHOLEMILK, FULL PRICE & WELFARE"
402,"UHT LIQUID MILK, FULL PRICE",4,"LIQUID WHOLEMILK, FULL PRICE",pt,4006.0,"LIQUID WHOLEMILK, INC SCHOOL & WELFARE"
402,"UHT LIQUID MILK, FULL PRICE",4,"LIQUID WHOLEMILK, FULL PRICE",pt,4017.0,TOTAL MILK AND CREAM
402,"UHT LIQUID MILK, FULL PRICE",4,"LIQUID WHOLEMILK, FULL PRICE",pt,4023.0,"TOTAL MILK, CREAM AND CHEESE"
403,"STERILISED MILK, FULL PRICE",4,"LIQUID WHOLEMILK, FULL PRICE",pt,4005.0,"LIQUID WHOLEMILK, FULL PRICE & WELFARE"
403,"STERILISED MILK, FULL PRICE",4,"LIQUID WHOLEMILK, FULL PRICE",pt,4006.0,"LIQUID WHOLEMILK, INC SCHOOL & WELFARE"
403,"STERILISED MILK, FULL PRICE",4,"LIQUID WHOLEMILK, FULL PRICE",pt,4017.0,TOTAL MILK AND CREAM
403,"STERILISED MILK, FULL PRICE",4,"LIQUID WHOLEMILK, FULL PRICE",pt,4023.0,"TOTAL MILK, CREAM AND CHEESE"
404,"OTHER LIQUID MILK, FULL PRICE",4,"LIQUID WHOLEMILK, FULL PRICE",pt,4005.0,"LIQUID WHOLEMILK, FULL PRICE & WELFARE"
404,"OTHER LIQUID MILK, FULL PRICE",4,"LIQUID WHOLEMILK, FULL PRICE",pt,4006.0,"LIQUID WHOLEMILK, INC SCHOOL & WELFARE"
404,"OTHER LIQUID MILK, FULL PRICE",4,"LIQUID WHOLEMILK, FULL PRICE",pt,4017.0,TOTAL MILK AND CREAM
404,"OTHER LIQUID MILK, FULL PRICE",4,"LIQUID WHOLEMILK, FULL PRICE",pt,4023.0,"TOTAL MILK, CREAM AND CHEESE"
501,MILK  LIQUID  WELFARE,5,MILK LIQUID WELFARE,pt,4005.0,"LIQUID WHOLEMILK, FULL PRICE & WELFARE"
501,MILK  LIQUID  WELFARE,5,MILK LIQUID WELFARE,pt,4006.0,"LIQUID WHOLEMILK, INC SCHOOL & WELFARE"
501,MILK  LIQUID  WELFARE,5,MILK LIQUID WELFARE,pt,4017.0,TOTAL MILK AND CREAM
501,MILK  LIQUID  WELFARE,5,MILK LIQUID WELFARE,pt,4023.0,"TOTAL MILK, CREAM AND CHEESE"
